Badi|Gregorian|Week|Day|Month|Leap|Days|Day|JRG
Date|Date|Day|Name|Name|Year|Year|Year|Leap
(97, 1, 1)|(1940, 3, 20.762493)|4|`Idāl|Bahá|False|365|001|4
(98, 1, 1)|(1941, 3, 20.762352)|5|Istijlāl|Bahá|False|365|001|4
(99, 1, 1)|(1942, 3, 20.76221)|6|Istiqlāl|Bahá|False|365|001|4
(100, 1, 1)|(1943, 3, 20.762068)|0|Jalál|Bahá|True|366|001|5
(101, 1, 1)|(1944, 3, 20.761926)|2|Kamál|Bahá|False|365|001|4
(102, 1, 1)|(1945, 3, 20.761785)|3|Fiḍāl|Bahá|False|365|001|4
(103, 1, 1)|(1946, 3, 20.761644)|4|`Idāl|Bahá|False|365|001|4
(104, 1, 1)|(1947, 3, 20.761503)|5|Istijlāl|Bahá|True|366|001|5
(105, 1, 1)|(1948, 3, 20.761942)|0|Jalál|Bahá|False|365|001|4
(106, 1, 1)|(1949, 3, 20.761802)|1|Jamál|Bahá|False|365|001|4
(107, 1, 1)|(1950, 3, 20.761663)|2|Kamál|Bahá|False|365|001|4
(108, 1, 1)|(1951, 3, 20.761523)|3|Fiḍāl|Bahá|True|366|001|5
(109, 1, 1)|(1952, 3, 20.761963)|5|Istijlāl|Bahá|False|365|001|4
(110, 1, 1)|(1953, 3, 20.761823)|6|Istiqlāl|Bahá|False|365|001|4
(111, 1, 1)|(1954, 3, 20.761683)|0|Jalál|Bahá|False|365|001|4
(112, 1, 1)|(1955, 3, 20.761542)|1|Jamál|Bahá|True|366|001|5
(113, 1, 1)|(1956, 3, 20.76198)|3|Fiḍāl|Bahá|False|365|001|4
(114, 1, 1)|(1957, 3, 20.761839)|4|`Idāl|Bahá|False|365|001|4
(115, 1, 1)|(1958, 3, 20.761697)|5|Istijlāl|Bahá|False|365|001|4
(116, 1, 1)|(1959, 3, 20.761554)|6|Istiqlāl|Bahá|False|365|001|5
(117, 1, 1)|(1960, 3, 19.761992)|0|Jalál|Bahá|True|366|001|4
(118, 1, 1)|(1961, 3, 20.76185)|2|Kamál|Bahá|False|365|001|4
(119, 1, 1)|(1962, 3, 20.761708)|3|Fiḍāl|Bahá|False|365|001|4
(120, 1, 1)|(1963, 3, 20.761566)|4|`Idāl|Bahá|False|365|001|5
(121, 1, 1)|(1964, 3, 19.762005)|5|Istijlāl|Bahá|True|366|001|4
(122, 1, 1)|(1965, 3, 20.761864)|0|Jalál|Bahá|False|365|001|4
(123, 1, 1)|(1966, 3, 20.761723)|1|Jamál|Bahá|False|365|001|4
(124, 1, 1)|(1967, 3, 20.761583)|2|Kamál|Bahá|False|365|001|5
(125, 1, 1)|(1968, 3, 19.762023)|3|Fiḍāl|Bahá|True|366|001|4
(126, 1, 1)|(1969, 3, 20.761884)|5|Istijlāl|Bahá|False|365|001|4
(127, 1, 1)|(1970, 3, 20.761744)|6|Istiqlāl|Bahá|False|365|001|4
(128, 1, 1)|(1971, 3, 20.761603)|0|Jalál|Bahá|False|365|001|5
(129, 1, 1)|(1972, 3, 19.762044)|1|Jamál|Bahá|True|366|001|4
(130, 1, 1)|(1973, 3, 20.761903)|3|Fiḍāl|Bahá|False|365|001|4
(131, 1, 1)|(1974, 3, 20.761762)|4|`Idāl|Bahá|False|365|001|4
(132, 1, 1)|(1975, 3, 20.76162)|5|Istijlāl|Bahá|False|365|001|5
(133, 1, 1)|(1976, 3, 19.762059)|6|Istiqlāl|Bahá|True|366|001|4
(134, 1, 1)|(1977, 3, 20.761917)|1|Jamál|Bahá|False|365|001|4
(135, 1, 1)|(1978, 3, 20.761774)|2|Kamál|Bahá|False|365|001|4
(136, 1, 1)|(1979, 3, 20.761632)|3|Fiḍāl|Bahá|False|365|001|5
(137, 1, 1)|(1980, 3, 19.76207)|4|`Idāl|Bahá|True|366|001|4
(138, 1, 1)|(1981, 3, 20.761928)|6|Istiqlāl|Bahá|False|365|001|4
(139, 1, 1)|(1982, 3, 20.761786)|0|Jalál|Bahá|False|365|001|4
(140, 1, 1)|(1983, 3, 20.761645)|1|Jamál|Bahá|False|365|001|5
(141, 1, 1)|(1984, 3, 19.762084)|2|Kamál|Bahá|True|366|001|4
(142, 1, 1)|(1985, 3, 20.761944)|4|`Idāl|Bahá|False|365|001|4
(143, 1, 1)|(1986, 3, 20.761803)|5|Istijlāl|Bahá|False|365|001|4
(144, 1, 1)|(1987, 3, 20.761663)|6|Istiqlāl|Bahá|False|365|001|5
(145, 1, 1)|(1988, 3, 19.762105)|0|Jalál|Bahá|True|366|001|4
(146, 1, 1)|(1989, 3, 20.761964)|2|Kamál|Bahá|False|365|001|4
(147, 1, 1)|(1990, 3, 20.761824)|3|Fiḍāl|Bahá|False|365|001|4
(148, 1, 1)|(1991, 3, 20.761684)|4|`Idāl|Bahá|False|365|001|5
(149, 1, 1)|(1992, 3, 19.762124)|5|Istijlāl|Bahá|False|365|001|4
(150, 1, 1)|(1993, 3, 19.761982)|6|Istiqlāl|Bahá|True|366|001|4
(151, 1, 1)|(1994, 3, 20.76184)|1|Jamál|Bahá|False|365|001|4
(152, 1, 1)|(1995, 3, 20.761698)|2|Kamál|Bahá|False|365|001|5
